year,match,map,maps_played,wins,draws,losses,total_kills,total_deaths,rounds_played,K/D_ratio,players_played
2022,Majors,Ancient,0,0,0,0,0,0,0,-,-
2022,Majors,Dust2,0,0,0,0,0,0,0,-,-
2022,Majors,Inferno,0,0,0,0,0,0,0,-,-
2022,Majors,Mirage,0,0,0,0,0,0,0,-,-
2022,Majors,Nuke,0,0,0,0,0,0,0,-,-
2022,Majors,Overpass,0,0,0,0,0,0,0,-,-
2022,Majors,Vertigo,0,0,0,0,0,0,0,-,-
2022,Majors,Anubis,0,0,0,0,0,0,0,-,-
2022,Majors,Cache,0,0,0,0,0,0,0,-,-
2022,Majors,Cobblestone,0,0,0,0,0,0,0,-,-
2022,Majors,Season,0,0,0,0,0,0,0,-,-
2022,Majors,Train,0,0,0,0,0,0,0,-,-
2022,Majors,Tuscan,0,0,0,0,0,0,0,-,-
2022,Big Events,Ancient,0,0,0,0,0,0,0,-,-
2022,Big Events,Dust2,0,0,0,0,0,0,0,-,-
2022,Big Events,Inferno,0,0,0,0,0,0,0,-,-
2022,Big Events,Mirage,0,0,0,0,0,0,0,-,-
2022,Big Events,Nuke,0,0,0,0,0,0,0,-,-
2022,Big Events,Overpass,0,0,0,0,0,0,0,-,-
2022,Big Events,Vertigo,0,0,0,0,0,0,0,-,-
2022,Big Events,Anubis,0,0,0,0,0,0,0,-,-
2022,Big Events,Cache,0,0,0,0,0,0,0,-,-
2022,Big Events,Cobblestone,0,0,0,0,0,0,0,-,-
2022,Big Events,Season,0,0,0,0,0,0,0,-,-
2022,Big Events,Train,0,0,0,0,0,0,0,-,-
2022,Big Events,Tuscan,0,0,0,0,0,0,0,-,-
2022,LAN,Ancient,0,0,0,0,0,0,0,-,-
2022,LAN,Dust2,0,0,0,0,0,0,0,-,-
2022,LAN,Inferno,0,0,0,0,0,0,0,-,-
2022,LAN,Mirage,0,0,0,0,0,0,0,-,-
2022,LAN,Nuke,0,0,0,0,0,0,0,-,-
2022,LAN,Overpass,0,0,0,0,0,0,0,-,-
2022,LAN,Vertigo,0,0,0,0,0,0,0,-,-
2022,LAN,Anubis,0,0,0,0,0,0,0,-,-
2022,LAN,Cache,0,0,0,0,0,0,0,-,-
2022,LAN,Cobblestone,0,0,0,0,0,0,0,-,-
