year;match;map;maps_played;wins;draws;losses;total_kills;total_deaths;rounds_played;K/D_ratio;players_played
2021;Majors;Ancient;0;0;0;0;0;0;0;-;-
2021;Majors;Dust2;0;0;0;0;0;0;0;-;-
2021;Majors;Inferno;0;0;0;0;0;0;0;-;-
2021;Majors;Mirage;0;0;0;0;0;0;0;-;-
2021;Majors;Nuke;0;0;0;0;0;0;0;-;-
2021;Majors;Overpass;0;0;0;0;0;0;0;-;-
2021;Majors;Vertigo;0;0;0;0;0;0;0;-;-
2021;Majors;Anubis;0;0;0;0;0;0;0;-;-
2021;Majors;Cache;0;0;0;0;0;0;0;-;-
2021;Majors;Cobblestone;0;0;0;0;0;0;0;-;-
2021;Majors;Season;0;0;0;0;0;0;0;-;-
2021;Majors;Train;0;0;0;0;0;0;0;-;-
2021;Majors;Tuscan;0;0;0;0;0;0;0;-;-
2021;Big Events;Ancient;0;0;0;0;0;0;0;-;-
2021;Big Events;Dust2;0;0;0;0;0;0;0;-;-
2021;Big Events;Inferno;0;0;0;0;0;0;0;-;-
2021;Big Events;Mirage;0;0;0;0;0;0;0;-;-
2021;Big Events;Nuke;0;0;0;0;0;0;0;-;-
2021;Big Events;Overpass;0;0;0;0;0;0;0;-;-
2021;Big Events;Vertigo;0;0;0;0;0;0;0;-;-
2021;Big Events;Anubis;0;0;0;0;0;0;0;-;-
2021;Big Events;Cache;0;0;0;0;0;0;0;-;-
2021;Big Events;Cobblestone;0;0;0;0;0;0;0;-;-
2021;Big Events;Season;0;0;0;0;0;0;0;-;-
2021;Big Events;Train;0;0;0;0;0;0;0;-;-
2021;Big Events;Tuscan;0;0;0;0;0;0;0;-;-
2021;LAN;Ancient;0;0;0;0;0;0;0;-;-
2021;LAN;Dust2;0;0;0;0;0;0;0;-;-
2021;LAN;Inferno;0;0;0;0;0;0;0;-;-
2021;LAN;Mirage;0;0;0;0;0;0;0;-;-
2021;LAN;Nuke;0;0;0;0;0;0;0;-;-
2021;LAN;Overpass;0;0;0;0;0;0;0;-;-
