team,year,date,HLTV_rankings,roster,nats
Eternal Fire,2024,12/08/2024,17,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,05/08/2024,16,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,29/07/2024,16,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,22/07/2024,14,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,15/07/2024,13,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,08/07/2024,13,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,01/07/2024,13,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,24/06/2024,13,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,17/06/2024,14,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,10/06/2024,13,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,03/06/2024,12,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,27/05/2024,10,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,20/05/2024,10,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,13/05/2024,10,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,06/05/2024,7,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,29/04/2024,7,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,22/04/2024,7,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,15/04/2024,7,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,08/04/2024,8,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,01/04/2024,8,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,25/03/2024,12,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire,2024,18/03/2024,13,MAJ3R - XANTARES - Calyx - woxic - Wicadia,Turkish - Turkish - Turkish - Turkish - Turkish
