year,match,map,total_kills,hs_percentage,total_deaths,KD_ratio,damage_per_r,grenade_damage_per_r,maps_played,rounds_played,kills_per_r,assist_per_r,deaths_per_r,saved_by_teammate,save_teammates,rating_2.0,rating_1.0,r_with_kills,zero_kill_r,one_kill_r,two_kill_r,three_kill_r,four_kill_r,five_kill_r,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_win_percent,first_kill_in_won_r,riffle_k,sniper_k,smg_k,pistol_k,grenade_k,other_k,one_o_one_clutch_w,one_o_one_clutch_l,one_o_two_clutch_w,one_o_three_clutch_w,one_o_four_clutch_w,one_o_five_clutch_w,team,age
2013,Majors,Cache,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Cobblestone,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Dust2,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Mirage,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Nuke,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Overpass,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Train,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Ancient,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Anubis,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Inferno,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Season,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Tuscan,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Majors,Vertigo,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Big Events,Cache,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Big Events,Cobblestone,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Big Events,Dust2,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Big Events,Mirage,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Big Events,Nuke,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Big Events,Overpass,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Big Events,Train,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
2013,Big Events,Ancient,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Team,17
